iter	Logloss	AUC
72	0.4016038707	0.8558023679
73	0.4015451871	0.8557914315
74	0.4012229253	0.8561097917
75	0.4009951545	0.8563191588
76	0.4005953571	0.8566744062
77	0.4004567236	0.8567257516
78	0.4002176315	0.8568859976
79	0.3999875953	0.8571020377
80	0.3996934696	0.857374428
81	0.3994105481	0.8576289308
82	0.3991598757	0.857792606
83	0.3990799711	0.8578473806
84	0.3989810595	0.857932462
85	0.3989533427	0.8579611932
86	0.3987616379	0.8580551721
87	0.3986740317	0.8581224587
88	0.3982687108	0.8583870638
89	0.3981483952	0.8585197834
90	0.398050266	0.8586028258
91	0.3980261862	0.8586282205
92	0.3978194277	0.8588099685
93	0.3978186836	0.8588103392
94	0.3976636531	0.858931381
95	0.3974365287	0.8591449187
96	0.3974113198	0.8591645671
97	0.3973637222	0.8591901472
98	0.397278854	0.8593019208
99	0.397031328	0.8594620741
100	0.3970135594	0.8594735666
101	0.3969255471	0.8595592041
102	0.3968992555	0.8595799647
103	0.3967824925	0.859698504
104	0.3967527204	0.8597346498
105	0.3966808817	0.8598084241
106	0.3965767801	0.8599455924
107	0.3962823602	0.8601771102
108	0.3960193188	0.8603916674
109	0.3960183072	0.8603922235
110	0.3959730758	0.860426701
111	0.3959538083	0.8604484811
112	0.3957551721	0.8606108587
113	0.3954236033	0.8609133704
114	0.3952809001	0.86104989
115	0.3951164295	0.8611453517
116	0.3951085788	0.8611390494
117	0.3949926821	0.861227838
118	0.3947957183	0.8613509188
119	0.3946975476	0.8614298833
120	0.3946547442	0.861453795
121	0.3945496036	0.8615734466
122	0.3944478788	0.8616325773
123	0.3943365214	0.8617521361
124	0.3942377883	0.8618424077
125	0.3941227796	0.8619131235
126	0.3941056651	0.8619260062
127	0.3940847349	0.8619354597
128	0.3940668655	0.8619415767
129	0.3939041324	0.8621113688
130	0.3935692492	0.8623325991
131	0.3934900709	0.8623993296
132	0.3933564765	0.8625171275
133	0.3932208355	0.862672554
134	0.3932083192	0.8626833051
135	0.3931973279	0.862684788
136	0.3931695467	0.8626942415
137	0.3931485369	0.8627155581
138	0.3930183434	0.8628279806
139	0.3929834217	0.8628572678
140	0.3928245445	0.8630005531
141	0.3928118942	0.8629834998
142	0.3927681104	0.8630185333
143	0.3925279049	0.8631823938
144	0.3924864736	0.8632140908
145	0.3924451635	0.8632748897
146	0.3924451311	0.8632748897
147	0.392255392	0.8634331894
148	0.3920766617	0.863561831
149	0.3918883986	0.8637420961
150	0.3918814608	0.8637439498
151	0.3917964336	0.8638067877
152	0.3914623969	0.8640853876
153	0.3914508045	0.8640968801
154	0.3914109301	0.8641443329
155	0.3912382125	0.8642978132
156	0.3912304027	0.864305413
157	0.3910401942	0.8644588933
158	0.3907792157	0.8646644604
159	0.3905242693	0.8648592764
160	0.3902304737	0.8650735556
161	0.3900400778	0.8652485379
162	0.3899799823	0.8652952492
163	0.3897836761	0.8654581829
164	0.3897578891	0.8654741241
165	0.3896769301	0.8655276939
166	0.3896481087	0.8655592056
167	0.3896445397	0.865576815
168	0.3894079191	0.8658109279
169	0.3893761389	0.8658372494
170	0.3890979759	0.8661004643
171	0.3888413551	0.8663273481
172	0.3887605749	0.8664151173
173	0.3887323568	0.8664360633
174	0.3885030083	0.8666089139
175	0.3884255855	0.8666550691
176	0.38833206	0.8667268045
177	0.3882998402	0.8667573893
178	0.3881196889	0.8669358008
179	0.3881196469	0.8669358008
180	0.3880563302	0.8669630491
181	0.3880186834	0.8669948388
182	0.3878631524	0.8671320071
183	0.3878051199	0.8671727868
184	0.3876122297	0.8673314572
185	0.3876122242	0.8673312719
186	0.3872634408	0.8676428664
187	0.3869493138	0.8679021886
188	0.3868698728	0.8679983918
189	0.3868698677	0.8679983918
190	0.3868579485	0.8679937577
191	0.3868492355	0.868008216
192	0.386748965	0.8681149849
193	0.3866847835	0.8681414917
194	0.3866081886	0.8681709644
195	0.3865426356	0.8682393632
196	0.3864213546	0.8682573433
197	0.3863366083	0.868328986
198	0.3863090672	0.8683462247
199	0.3862831239	0.8683845947
200	0.3862724482	0.8683994237
201	0.38604329	0.8685115681
202	0.386022813	0.8685256557
203	0.3859960038	0.8685704207
204	0.3859824001	0.8685908106
205	0.3857986467	0.8687505005
206	0.385798641	0.8687505005
207	0.3857731476	0.8687775634
208	0.3857447315	0.8687935046
209	0.385716079	0.8688048117
210	0.3857092687	0.8688087043
211	0.3855835717	0.8689288193
212	0.3855784566	0.8689356777
213	0.385444177	0.8690526415
214	0.3851908146	0.8693001005
215	0.3851902306	0.8693032517
216	0.3848648912	0.8696022416
217	0.3848603505	0.8695905637
218	0.3848439683	0.8696091
219	0.384838787	0.8696024269
220	0.3846623492	0.8697295856
221	0.3846162003	0.8697885309
222	0.3846059751	0.8697766677
223	0.3845553124	0.8697909407
224	0.3844194179	0.8699143921
225	0.3841478223	0.8701583293
226	0.3838012405	0.8704560216
227	0.3837965222	0.8704575045
228	0.383557271	0.8707103391
229	0.3833150232	0.8709121989
230	0.3833076065	0.8709264719
231	0.3832462027	0.8710017291
232	0.383155321	0.8710866251
233	0.38303132	0.8712065547
234	0.3829085684	0.8713100797
235	0.3828520698	0.8713564204
236	0.382757176	0.8714396482
237	0.3826901814	0.8715199102
238	0.3826339416	0.8715825627
239	0.3823975668	0.8717870176
240	0.3823489712	0.8718274267
241	0.382126481	0.8719816484
242	0.382067614	0.8719825752
243	0.3819070293	0.872133275
244	0.3816496221	0.8722281806
245	0.3815764254	0.8722849942
246	0.3815662317	0.8722836967
247	0.3813348928	0.8724683178
248	0.3812189023	0.872572955
249	0.3811822092	0.8726204078
250	0.3810879689	0.8726715679
251	0.3807687714	0.8729342267
252	0.3806619463	0.8730219032
253	0.3805697616	0.8730804778
254	0.3805418833	0.8731129162
255	0.3802596767	0.8733228393
256	0.380199763	0.8733784481
257	0.3800913001	0.8734883681
258	0.3800397668	0.8735769714
259	0.3799406553	0.8736757697
260	0.379708046	0.8738770735
261	0.3797049893	0.8738967219
262	0.379564571	0.8739953348
263	0.3795509305	0.8740109053
264	0.3794742668	0.8740594702
265	0.3794132923	0.8741254593
266	0.3792861353	0.8742042384
267	0.3791109262	0.8743365873
268	0.3789148163	0.8745048965
269	0.378909011	0.8745091599
270	0.3788128994	0.8746022119
271	0.3787273805	0.8746787666
272	0.3787259579	0.874680991
273	0.3787111932	0.8747026784
274	0.3786302574	0.8747834965
275	0.378314415	0.8750800766
276	0.378274004	0.8751089932
277	0.3781109011	0.875281195
278	0.3780153634	0.8753457012
279	0.3779030465	0.8754111342
280	0.3775512711	0.8756962219
281	0.3774811272	0.8757484941
282	0.3774608272	0.875794464
283	0.3774410167	0.8758131857
284	0.3771864802	0.8760256112
285	0.377167395	0.8760443328
286	0.3769993979	0.8761249655
287	0.3769863522	0.87611959
288	0.3769644256	0.8761529553
289	0.3767723528	0.8762788165
290	0.3766972609	0.8763190401
291	0.376686291	0.8763366496
292	0.3765528827	0.8764256236
293	0.3764174192	0.8765234951
294	0.3763292712	0.8766026449
295	0.3760588909	0.8768184069
296	0.3759486691	0.8769220246
297	0.37584376	0.877023418
298	0.3757556482	0.8771081287
299	0.3754340331	0.8771654057
